omega,Re_G,Im_G
9.766694453556736377e+00,-2.302922768920881436e-02,-1.554795711008106485e-01
9.915044577452905017e+00,-2.434202904311472820e-02,-1.524108614686059404e-01
1.006564804912858335e+01,-2.561678534847766989e-02,-1.493662564763871270e-01
1.021853909556033280e+01,-2.685350902882362167e-02,-1.463475650133059525e-01
1.037375246361160386e+01,-2.805216401971747167e-02,-1.433561941940611484e-01
1.053132342792947718e+01,-2.921267622926246310e-02,-1.403931315004219582e-01
1.069128779896137793e+01,-3.033494430072161338e-02,-1.374589417832559057e-01
1.085368193109355595e+01,-3.141885051409191998e-02,-1.345537792996263637e-01
1.101854273091318959e+01,-3.246427165517944829e-02,-1.316774142232916556e-01
1.118590766559596794e+01,-3.347108960527874627e-02,-1.288292723855936073e-01
1.135581477142110707e+01,-3.443920140665605173e-02,-1.260084863468539651e-01
1.152830266241566548e+01,-3.536852847001308725e-02,-1.232139552786771924e-01
1.170341053913019458e+01,-3.625902459889771695e-02,-1.204444106966052891e-01
1.188117819754766558e+01,-3.711068242041030973e-02,-1.176984847178363519e-01
1.206164603812772818e+01,-3.792353782063773160e-02,-1.149747773208328744e-01
1.224485507498833670e+01,-3.869767195717529334e-02,-1.122719190876616119e-01
1.243084694522685041e+01,-3.943321041370337343e-02,-1.095886260604268525e-01
1.261966391838270951e+01,-4.013031911040328137e-02,-1.069237436721153789e-01
1.281134890604384324e+01,-4.078919660264414965e-02,-1.042762772638245461e-01
1.300594547159900216e+01,-4.141006248571663800e-02,-1.016454073166306177e-01
1.320349784013817285e+01,-4.199314172188044897e-02,-9.903048837007825955e-02
1.340405090850348557e+01,-4.253864480793428243e-02,-9.643103144606988975e-02
1.360765025549267015e+01,-4.304674385130308201e-02,-9.384667078038522181e-02
1.381434215221755579e+01,-4.351754479950210169e-02,-9.127711658184989307e-02
1.402417357261990283e+01,-4.395105620258026036e-02,-8.872209650382470447e-02
1.423719220414695741e+01,-4.434715510486732931e-02,-8.618128931094093392e-02
1.445344645858916444e+01,-4.470555086841134645e-02,-8.365425498240679214e-02
1.467298548308250261e+01,-4.502574784473818009e-02,-8.114036599357479784e-02
1.489585917127792491e+01,-4.530700805893476263e-02,-7.863874489914807198e-02
1.512211817468047315e+01,-4.554831521250738563e-02,-7.614821341266224397e-02
1.535181391416061736e+01,-4.574834136361923681e-02,-7.366725805296653329e-02
1.558499859164044565e+01,-4.590541788086564823e-02,-7.119401700871171024e-02
1.582172520195735643e+01,-4.601751215205873713e-02,-6.872629220208829881e-02
1.606204754490796915e+01,-4.608221167988451467e-02,-6.626158963254585865e-02
1.630602023747495011e+01,-4.609671704439375489e-02,-6.379718993664831861e-02
1.655369872623958116e+01,-4.605784518339452877e-02,-6.133024980521842306e-02
1.680513929998286216e+01,-4.596204422278930835e-02,-5.885793347105990059e-02
1.706039910247795888e+01,-4.580542092688816291e-02,-5.637757192690479729e-02
1.731953614547708398e+01,-4.558378153000971350e-02,-5.388684608546526200e-02
1.758260932189554282e+01,-4.529268639594364459e-02,-5.138398854355318707e-02
1.784967841919603515e+01,-4.492751864411603097e-02,-4.886799734688096475e-02
1.812080413297631409e+01,-4.448356638784858874e-02,-4.633885394687597969e-02
1.839604808076320097e+01,-4.395611788486283866e-02,-4.379773667855023367e-02
1.867547281601610365e+01,-4.334056847963074777e-02,-4.124722045953830435e-02
1.895914184234328204e+01,-4.263253767927994292e-02,-3.869145319238694730e-02
1.924711962793402620e+01,-4.182799444326503607e-02,-3.613629946650007141e-02
1.953947162021003692e+01,-4.092338818529007993e-02,-3.358944267036562820e-02
