omega,Re_G_fit,Im_G_fit
2.2728039784e+01,-2.5192480131e-02,-5.4887115524e-03
2.3072340035e+01,-2.3105871995e-02,-4.6174153122e-03
2.3421855988e+01,-2.1031581627e-02,-4.8931808917e-03
2.3776666652e+01,-1.8894647254e-02,-6.2004836494e-03
2.4136852237e+01,-1.6477625506e-02,-8.2848385228e-03
2.4502494165e+01,-1.3509530870e-02,-1.0743877448e-02
2.4873675092e+01,-9.8209860547e-03,-1.3048622518e-02
2.5250478929e+01,-5.4902293307e-03,-1.4650908330e-02
2.5632990853e+01,-8.7541439514e-04,-1.5169566966e-02
2.6021297336e+01,3.5183828293e-03,-1.4551627380e-02
2.6415486157e+01,7.2637293235e-03,-1.3088377163e-02
2.6815646426e+01,1.0175090825e-02,-1.1272651348e-02
2.7221868603e+01,1.2318812678e-02,-9.6043648590e-03
2.7634244517e+01,1.3900689671e-02,-8.4608474720e-03
2.8052867391e+01,1.5128951382e-02,-8.0634555067e-03
2.8477831857e+01,1.6127026964e-02,-8.4986427154e-03
2.8909233982e+01,1.6916874439e-02,-9.7449063386e-03
2.9347171288e+01,1.7457215449e-02,-1.1690450427e-02
2.9791742775e+01,1.7705042300e-02,-1.4153364186e-02
3.0243048942e+01,1.7665672326e-02,-1.6915847849e-02
3.0701191811e+01,1.7407147522e-02,-1.9766912329e-02
3.1166274948e+01,1.7036596463e-02,-2.2536662162e-02
3.1638403490e+01,1.6656309820e-02,-2.5110624028e-02
3.2117684166e+01,1.6323689112e-02,-2.7426101418e-02
3.2604225321e+01,1.6032008438e-02,-2.9460203219e-02
3.3098136941e+01,1.5716450875e-02,-3.1216987440e-02
3.3599530681e+01,1.5279457858e-02,-3.2715453967e-02
3.4108519883e+01,1.4624077838e-02,-3.3977863861e-02
3.4625219611e+01,1.3683838451e-02,-3.5019792300e-02
3.5149746667e+01,1.2441140897e-02,-3.5845388066e-02
3.5682219627e+01,1.0930959814e-02,-3.6450147595e-02
3.6222758859e+01,9.2309553417e-03,-3.6829645202e-02
3.6771486558e+01,7.4423098133e-03,-3.6989300810e-02
3.7328526768e+01,5.6674328334e-03,-3.6950004528e-02
3.7894005413e+01,3.9907155180e-03,-3.6747189975e-02
3.8468050324e+01,2.4666519020e-03,-3.6424553871e-02
3.9050791269e+01,1.1166829766e-03,-3.6025770280e-02
3.9642359982e+01,-6.6589458837e-05,-3.5587469613e-02
4.0242890191e+01,-1.1106529173e-03,-3.5135234520e-02
4.0852517653e+01,-2.0527903935e-03,-3.4682713435e-02
