omega,Re_G,Im_G
6.405374700998169857e-01,5.667772299690740923e-01,-1.506227096474131166e-01
6.406338483646484283e-01,5.667665170851177159e-01,-1.506447755717600645e-01
6.407302411310046297e-01,5.667557993494396484e-01,-1.506668412426989956e-01
6.408266484010674002e-01,5.667450767740295214e-01,-1.506889066624614304e-01
6.409230701770192162e-01,5.667343493708821844e-01,-1.507109718332007853e-01
6.410195064610424431e-01,5.667236171517140431e-01,-1.507330367571348417e-01
6.411159572553203345e-01,5.667128801283843886e-01,-1.507551014364003350e-01
6.412124225620360329e-01,5.667021383127982537e-01,-1.507771658732652287e-01
6.413089023833730140e-01,5.666913917167156756e-01,-1.507992300698029753e-01
6.414053967215154195e-01,5.666806403518692692e-01,-1.508212940282728787e-01
6.415019055786473912e-01,5.666698842302297923e-01,-1.508433577508131174e-01
6.415984289569536259e-01,5.666591233634400426e-01,-1.508654212396110250e-01
6.416949668586190425e-01,5.666483577632530633e-01,-1.508874844968253193e-01
6.417915192858287821e-01,5.666375874414369962e-01,-1.509095475246297613e-01
6.418880862407685406e-01,5.666268124096711656e-01,-1.509316103252198726e-01
6.419846677256240142e-01,5.666160326796594315e-01,-1.509536729007332490e-01
6.420812637425817870e-01,5.666052482631394049e-01,-1.509757352533138697e-01
6.421778742938282214e-01,5.665944591716655099e-01,-1.509977973851309163e-01
6.422744993815501235e-01,5.665836654169245090e-01,-1.510198592983680588e-01
6.423711390079349659e-01,5.665728670106053855e-01,-1.510419209951358865e-01
6.424677931751699989e-01,5.665620639643506040e-01,-1.510639824776076057e-01
6.425644618854434720e-01,5.665512562895351767e-01,-1.510860437479301377e-01
6.426611451409433018e-01,5.665404439979447870e-01,-1.511081048082714984e-01
6.427578429438581820e-01,5.665296271011797113e-01,-1.511301656607186017e-01
6.428545552963769172e-01,5.665188056105824321e-01,-1.511522263074414618e-01
6.429512822006887562e-01,5.665079795377389038e-01,-1.511742867506227495e-01
6.430480236589831700e-01,5.664971488943565392e-01,-1.511963469923208458e-01
6.431447796734500733e-01,5.664863136917436259e-01,-1.512184070346962728e-01
6.432415502462796031e-01,5.664754739413698781e-01,-1.512404668799097462e-01
6.433383353796623405e-01,5.664646296546916870e-01,-1.512625265300699129e-01
6.434351350757890886e-01,5.664537808432487109e-01,-1.512845859872886667e-01
6.435319493368509836e-01,5.664429275184501567e-01,-1.513066452536985795e-01
6.436287781650397166e-01,5.664320696915171593e-01,-1.513287043314197056e-01
6.437256215625468680e-01,5.664212073741817788e-01,-1.513507632225908339e-01
6.438224795315649063e-01,5.664103405775933187e-01,-1.513728219292930222e-01
6.439193520742860777e-01,5.663994693131273461e-01,-1.513948804536437709e-01
6.440162391929032948e-01,5.663885935921166848e-01,-1.514169387977661596e-01
6.441131408896096922e-01,5.663777134259579960e-01,-1.514389969637649214e-01
6.442100571665987374e-01,5.663668288257452943e-01,-1.514610549537448725e-01
6.443069880260643423e-01,5.663559398031058345e-01,-1.514831127698006985e-01
6.444039334702006405e-01,5.663450463691599435e-01,-1.515051704140363276e-01
6.445008935012019879e-01,5.663341485350191773e-01,-1.515272278885825552e-01
6.445978681212634065e-01,5.663232463120226878e-01,-1.515492851954532982e-01
6.446948573325798071e-01,5.663123397115278346e-01,-1.515713423368328094e-01
6.447918611373467668e-01,5.663014287444915196e-01,-1.515933993147311198e-01
6.448888795377600847e-01,5.662905134222249171e-01,-1.516154561313152460e-01
6.449859125360158929e-01,5.662795937560580750e-01,-1.516375127886044616e-01
6.450829601343106567e-01,5.662686697568197758e-01,-1.516595692886915647e-01
6.451800223348410634e-01,5.662577414359339922e-01,-1.516816256336926960e-01
