omega,Re_G,Im_G
 2.10278439e+00, 3.55169130e-01,-3.21553651e-01
 2.11071237e+00, 3.54013008e-01,-3.21870644e-01
 2.11867024e+00, 3.52854543e-01,-3.22183874e-01
 2.12665811e+00, 3.51693736e-01,-3.22493313e-01
 2.13467610e+00, 3.50530586e-01,-3.22798936e-01
 2.14272432e+00, 3.49365095e-01,-3.23100715e-01
 2.15080288e+00, 3.48197263e-01,-3.23398623e-01
 2.15891191e+00, 3.47027092e-01,-3.23692634e-01
 2.16705150e+00, 3.45854584e-01,-3.23982721e-01
 2.17522178e+00, 3.44679739e-01,-3.24268859e-01
 2.18342287e+00, 3.43502561e-01,-3.24551020e-01
 2.19165487e+00, 3.42323052e-01,-3.24829180e-01
 2.19991792e+00, 3.41141215e-01,-3.25103312e-01
 2.20821211e+00, 3.39957053e-01,-3.25373390e-01
 2.21653758e+00, 3.38770570e-01,-3.25639390e-01
 2.22489444e+00, 3.37581771e-01,-3.25901286e-01
 2.23328280e+00, 3.36390660e-01,-3.26159052e-01
 2.24170279e+00, 3.35197243e-01,-3.26412664e-01
 2.25015452e+00, 3.34001525e-01,-3.26662098e-01
 2.25863812e+00, 3.32803513e-01,-3.26907328e-01
 2.26715371e+00, 3.31603212e-01,-3.27148331e-01
 2.27570140e+00, 3.30400632e-01,-3.27385083e-01
 2.28428132e+00, 3.29195780e-01,-3.27617559e-01
 2.29289358e+00, 3.27988664e-01,-3.27845737e-01
 2.30153832e+00, 3.26779293e-01,-3.28069592e-01
 2.31021565e+00, 3.25567678e-01,-3.28289103e-01
 2.31892569e+00, 3.24353829e-01,-3.28504247e-01
 2.32766857e+00, 3.23137757e-01,-3.28715000e-01
 2.33644442e+00, 3.21919475e-01,-3.28921341e-01
 2.34525335e+00, 3.20698993e-01,-3.29123249e-01
 2.35409550e+00, 3.19476327e-01,-3.29320701e-01
 2.36297098e+00, 3.18251490e-01,-3.29513676e-01
 2.37187992e+00, 3.17024496e-01,-3.29702154e-01
 2.38082245e+00, 3.15795362e-01,-3.29886114e-01
 2.38979870e+00, 3.14564103e-01,-3.30065535e-01
 2.39880879e+00, 3.13330737e-01,-3.30240399e-01
 2.40785285e+00, 3.12095281e-01,-3.30410684e-01
 2.41693101e+00, 3.10857755e-01,-3.30576373e-01
 2.42604340e+00, 3.09618177e-01,-3.30737446e-01
 2.43519014e+00, 3.08376569e-01,-3.30893885e-01
 2.44437136e+00, 3.07132950e-01,-3.31045671e-01
 2.45358721e+00, 3.05887344e-01,-3.31192788e-01
 2.46283779e+00, 3.04639773e-01,-3.31335217e-01
 2.47212326e+00, 3.03390261e-01,-3.31472942e-01
 2.48144373e+00, 3.02138832e-01,-3.31605947e-01
 2.49079934e+00, 3.00885512e-01,-3.31734214e-01
 2.50019023e+00, 2.99630327e-01,-3.31857729e-01
 2.50961652e+00, 2.98373305e-01,-3.31976477e-01
 2.51907835e+00, 2.97114473e-01,-3.32090442e-01
 2.52857586e+00, 2.95853861e-01,-3.32199609e-01
 2.53810917e+00, 2.94591499e-01,-3.32303966e-01
 2.54767842e+00, 2.93327416e-01,-3.32403498e-01
 2.55728376e+00, 2.92061646e-01,-3.32498192e-01
 2.56692531e+00, 2.90794220e-01,-3.32588036e-01
 2.57660320e+00, 2.89525173e-01,-3.32673018e-01
 2.58631759e+00, 2.88254537e-01,-3.32753124e-01
 2.59606860e+00, 2.86982350e-01,-3.32828346e-01
 2.60585638e+00, 2.85708646e-01,-3.32898671e-01
 2.61568105e+00, 2.84433463e-01,-3.32964088e-01
 2.62554277e+00, 2.83156839e-01,-3.33024590e-01
 2.63544167e+00, 2.81878812e-01,-3.33080164e-01
 2.64537789e+00, 2.80599423e-01,-3.33130804e-01
 2.65535158e+00, 2.79318711e-01,-3.33176500e-01
